date,open,high,low,close,volume,key,ticker,market,label
2024-04-18,180692.81015541265,184326.30688136388,180692.81015541265,183246.078125,112356,LGIT,011070.KS,KR,LG이노텍
2024-04-19,181380.23271166577,183049.67719249864,176273.69665264754,178041.34375,134717,LGIT,011070.KS,KR,LG이노텍
2024-04-22,179219.76033197832,181674.82554200545,179023.35511517615,181183.8125,69115,LGIT,011070.KS,KR,LG이노텍
2024-04-23,181380.23147869925,185701.14657618856,181183.8262469952,183835.296875,80194,LGIT,011070.KS,KR,LG이노텍
2024-04-24,185504.7428080144,206225.49491626795,185504.7428080144,205243.46875,515047,LGIT,011070.KS,KR,LG이노텍
2024-04-25,203279.4185294117,211626.6410294117,201315.3661764706,208680.5625,413615,LGIT,011070.KS,KR,LG이노텍
2024-04-26,209171.5806498829,211135.6330503513,206716.51514929743,209662.59375,145052,LGIT,011070.KS,KR,LG이노텍
2024-04-29,211135.609375,212608.6485101744,207698.518059593,211135.609375,107652,LGIT,011070.KS,KR,LG이노텍
2024-04-30,214081.70777027027,220955.8910472973,213099.68158783784,218009.8125,408070,LGIT,011070.KS,KR,LG이노텍
2024-05-02,218500.8020483781,221937.8933165548,217518.77597175617,219482.828125,140927,LGIT,011070.KS,KR,LG이노텍
2024-05-03,225374.9944029851,233231.20335820896,225374.9944029851,230285.125,508130,LGIT,011070.KS,KR,LG이노텍
2024-05-07,233231.21330245305,235686.2787056368,230285.13481863256,235195.265625,284279,LGIT,011070.KS,KR,LG이노텍
2024-05-08,231267.1459448608,232740.1850910064,227830.0546038544,229303.09375,143518,LGIT,011070.KS,KR,LG이노텍
2024-05-09,229794.11733870968,232249.1826948925,226357.02584005377,228321.078125,191259,LGIT,011070.KS,KR,LG이노텍
2024-05-10,233231.21661324785,233722.2297008547,227339.0595619658,229794.125,115582,LGIT,011070.KS,KR,LG이노텍
2024-05-13,230776.1328961456,232249.1720422912,227830.0546038544,229303.09375,90232,LGIT,011070.KS,KR,LG이노텍
2024-05-14,230776.1475515464,240596.40914948453,228812.0952319588,238141.34375,262737,LGIT,011070.KS,KR,LG이노텍
2024-05-16,242560.4507828542,244524.50301591377,238141.33325847023,239123.359375,164013,LGIT,011070.KS,KR,LG이노텍
2024-05-17,239614.3781446541,240596.4042845912,232740.1951650944,234213.234375,118417,LGIT,011070.KS,KR,LG이노텍
2024-05-20,236668.2840366242,237159.2970740446,228812.07543789808,231267.140625,137778,LGIT,011070.KS,KR,LG이노텍
